>>> python.exe n3sort.py 
w - width, длина входной последовательности

9 <-> 6 конфликтующие числа в десятичной записи

'01001' <-> '00110' конфликтующие числа в бинарной записи

'c=2 o=2 p=0 t=1 e=0' с - count,    общее количество сделанных перестановок.
                      o - ones,     количество единиц в последовательности.
                      p - pos,      позиция на которой закончилась сортировка.
                      t - tool,     способ (один из двух),
                                    на котором закончилось изменение  
                                    последовательности.
                      e - exchange, количество смены tool.

w= 8 |  86 <->  46 = ' 01010110' <-> ' 00101110' = 'c=6 o=4 p=3 t=0 e=1'
w= 8 |  89 <->  46 = ' 01011001' <-> ' 00101110' = 'c=6 o=4 p=3 t=0 e=1'
w= 8 |  90 <->  60 = ' 01011010' <-> ' 00111100' = 'c=4 o=4 p=2 t=1 e=0'
w= 8 |  91 <->  61 = ' 01011011' <-> ' 00111101' = 'c=6 o=5 p=4 t=0 e=1'
w= 8 |  92 <->  58 = ' 01011100' <-> ' 00111010' = 'c=5 o=4 p=3 t=0 e=1'
w= 8 |  93 <->  31 = ' 01011101' <-> ' 00011111' = 'c=8 o=5 p=4 t=0 e=1'
w= 8 |  97 <->  52 = ' 01100001' <-> ' 00110100' = 'c=4 o=3 p=2 t=0 e=1'
w= 8 |  98 <->  56 = ' 01100010' <-> ' 00111000' = 'c=3 o=3 p=2 t=1 e=0'
w= 8 |  99 <->  54 = ' 01100011' <-> ' 00110110' = 'c=5 o=4 p=2 t=1 e=0'
w= 8 | 100 <->  88 = ' 01100100' <-> ' 01011000' = 'c=3 o=3 p=2 t=0 e=1'
w= 8 | 101 <->  46 = ' 01100101' <-> ' 00101110' = 'c=6 o=4 p=3 t=0 e=1'
w= 8 | 102 <->  60 = ' 01100110' <-> ' 00111100' = 'c=4 o=4 p=2 t=1 e=0'
w= 8 | 103 <->  61 = ' 01100111' <-> ' 00111101' = 'c=6 o=5 p=4 t=0 e=1'
w= 8 | 105 <->  60 = ' 01101001' <-> ' 00111100' = 'c=4 o=4 p=2 t=1 e=0'
w= 8 | 107 <->  62 = ' 01101011' <-> ' 00111110' = 'c=5 o=5 p=4 t=1 e=0'
w= 8 | 109 <->  94 = ' 01101101' <-> ' 01011110' = 'c=5 o=5 p=4 t=0 e=1'
w= 8 | 113 <->  58 = ' 01110001' <-> ' 00111010' = 'c=5 o=4 p=3 t=0 e=1'
w= 8 | 114 <-> 108 = ' 01110010' <-> ' 01101100' = 'c=3 o=4 p=2 t=1 e=0'
w= 8 | 115 <->  94 = ' 01110011' <-> ' 01011110' = 'c=5 o=5 p=4 t=0 e=1'
w= 8 | 116 <-> 106 = ' 01110100' <-> ' 01101010' = 'c=4 o=4 p=3 t=0 e=1'
w= 8 | 117 <->  55 = ' 01110101' <-> ' 00110111' = 'c=7 o=5 p=4 t=0 e=1'
w= 8 | 121 <-> 118 = ' 01111001' <-> ' 01110110' = 'c=4 o=5 p=4 t=0 e=1'
w= 8 | 129 <->  24 = ' 10000001' <-> ' 00011000' = 'c=3 o=2 p=1 t=1 e=0'
w= 8 | 130 <->  40 = ' 10000010' <-> ' 00101000' = 'c=3 o=2 p=1 t=0 e=1'
w= 8 | 131 <->  38 = ' 10000011' <-> ' 00100110' = 'c=5 o=3 p=2 t=1 e=0'
w= 8 | 133 <->  28 = ' 10000101' <-> ' 00011100' = 'c=5 o=3 p=2 t=0 e=1'
w= 8 | 135 <->  30 = ' 10000111' <-> ' 00011110' = 'c=6 o=4 p=3 t=1 e=0'
w= 8 | 137 <->  44 = ' 10001001' <-> ' 00101100' = 'c=4 o=3 p=2 t=1 e=0'
w= 8 | 138 <->  28 = ' 10001010' <-> ' 00011100' = 'c=5 o=3 p=2 t=0 e=1'
w= 8 | 139 <->  46 = ' 10001011' <-> ' 00101110' = 'c=6 o=4 p=3 t=0 e=1'
w= 8 | 140 <->  56 = ' 10001100' <-> ' 00111000' = 'c=3 o=3 p=2 t=1 e=0'
w= 8 | 141 <->  54 = ' 10001101' <-> ' 00110110' = 'c=5 o=4 p=2 t=1 e=0'
w= 8 | 142 <->  58 = ' 10001110' <-> ' 00111010' = 'c=5 o=4 p=3 t=0 e=1'
w= 8 | 143 <->  59 = ' 10001111' <-> ' 00111011' = 'c=6 o=5 p=4 t=1 e=0'
w= 8 | 145 <->  52 = ' 10010001' <-> ' 00110100' = 'c=4 o=3 p=2 t=0 e=1'
w= 8 | 148 <->  88 = ' 10010100' <-> ' 01011000' = 'c=3 o=3 p=2 t=0 e=1'
w= 8 | 149 <->  46 = ' 10010101' <-> ' 00101110' = 'c=6 o=4 p=3 t=0 e=1'
w= 8 | 151 <->  61 = ' 10010111' <-> ' 00111101' = 'c=6 o=5 p=4 t=0 e=1'
w= 8 | 153 <-> 150 = ' 10011001' <-> ' 10010110' = 'c=4 o=4 p=3 t=1 e=0'
w= 8 | 154 <-> 106 = ' 10011010' <-> ' 01101010' = 'c=4 o=4 p=3 t=0 e=1'
w= 8 | 157 <->  94 = ' 10011101' <-> ' 01011110' = 'c=5 o=5 p=4 t=0 e=1'
w= 8 | 161 <-> 146 = ' 10100001' <-> ' 10010010' = 'c=3 o=3 p=1 t=1 e=0'
w= 8 | 162 <->  52 = ' 10100010' <-> ' 00110100' = 'c=4 o=3 p=2 t=0 e=1'
w= 8 | 163 <->  58 = ' 10100011' <-> ' 00111010' = 'c=5 o=4 p=3 t=0 e=1'
w= 8 | 164 <-> 152 = ' 10100100' <-> ' 10011000' = 'c=2 o=3 p=1 t=1 e=0'
w= 8 | 165 <-> 150 = ' 10100101' <-> ' 10010110' = 'c=4 o=4 p=3 t=1 e=0'
w= 8 | 166 <-> 106 = ' 10100110' <-> ' 01101010' = 'c=4 o=4 p=3 t=0 e=1'
w= 8 | 167 <-> 155 = ' 10100111' <-> ' 10011011' = 'c=5 o=5 p=3 t=1 e=0'
w= 8 | 168 <->  88 = ' 10101000' <-> ' 01011000' = 'c=3 o=3 p=2 t=0 e=1'
w= 8 | 169 <-> 106 = ' 10101001' <-> ' 01101010' = 'c=4 o=4 p=3 t=0 e=1'
w= 8 | 170 <->  46 = ' 10101010' <-> ' 00101110' = 'c=6 o=4 p=3 t=0 e=1'
w= 8 | 171 <->  61 = ' 10101011' <-> ' 00111101' = 'c=6 o=5 p=4 t=0 e=1'
w= 8 | 173 <-> 158 = ' 10101101' <-> ' 10011110' = 'c=4 o=5 p=3 t=1 e=0'
w= 8 | 174 <->  94 = ' 10101110' <-> ' 01011110' = 'c=5 o=5 p=4 t=0 e=1'
w= 8 | 175 <-> 125 = ' 10101111' <-> ' 01111101' = 'c=5 o=6 p=5 t=0 e=1'
w= 8 | 177 <-> 156 = ' 10110001' <-> ' 10011100' = 'c=3 o=4 p=3 t=1 e=0'
w= 8 | 178 <-> 172 = ' 10110010' <-> ' 10101100' = 'c=3 o=4 p=3 t=0 e=1'
w= 8 | 179 <-> 158 = ' 10110011' <-> ' 10011110' = 'c=4 o=5 p=3 t=1 e=0'
w= 8 | 181 <-> 118 = ' 10110101' <-> ' 01110110' = 'c=4 o=5 p=4 t=0 e=1'
w= 8 | 185 <-> 182 = ' 10111001' <-> ' 10110110' = 'c=3 o=5 p=3 t=1 e=0'
w= 8 | 186 <-> 118 = ' 10111010' <-> ' 01110110' = 'c=4 o=5 p=4 t=0 e=1'
w= 8 | 193 <->  88 = ' 11000001' <-> ' 01011000' = 'c=3 o=3 p=2 t=0 e=1'
w= 8 | 194 <-> 104 = ' 11000010' <-> ' 01101000' = 'c=2 o=3 p=2 t=1 e=0'
w= 8 | 195 <->  60 = ' 11000011' <-> ' 00111100' = 'c=4 o=4 p=2 t=1 e=0'
w= 8 | 196 <-> 112 = ' 11000100' <-> ' 01110000' = 'c=2 o=3 p=2 t=0 e=1'
w= 8 | 197 <->  58 = ' 11000101' <-> ' 00111010' = 'c=5 o=4 p=3 t=0 e=1'
w= 8 | 198 <-> 156 = ' 11000110' <-> ' 10011100' = 'c=3 o=4 p=3 t=1 e=0'
w= 8 | 199 <->  94 = ' 11000111' <-> ' 01011110' = 'c=5 o=5 p=4 t=0 e=1'
w= 8 | 201 <-> 108 = ' 11001001' <-> ' 01101100' = 'c=3 o=4 p=2 t=1 e=0'
w= 8 | 202 <-> 172 = ' 11001010' <-> ' 10101100' = 'c=3 o=4 p=3 t=0 e=1'
w= 8 | 203 <-> 110 = ' 11001011' <-> ' 01101110' = 'c=4 o=5 p=4 t=1 e=0'
w= 8 | 204 <-> 120 = ' 11001100' <-> ' 01111000' = 'c=2 o=4 p=2 t=1 e=0'
w= 8 | 205 <-> 118 = ' 11001101' <-> ' 01110110' = 'c=4 o=5 p=4 t=0 e=1'
w= 8 | 206 <-> 122 = ' 11001110' <-> ' 01111010' = 'c=3 o=5 p=4 t=1 e=0'
w= 8 | 207 <-> 123 = ' 11001111' <-> ' 01111011' = 'c=4 o=6 p=4 t=1 e=0'
w= 8 | 209 <-> 106 = ' 11010001' <-> ' 01101010' = 'c=4 o=4 p=3 t=0 e=1'
w= 8 | 210 <-> 120 = ' 11010010' <-> ' 01111000' = 'c=2 o=4 p=2 t=1 e=0'
w= 8 | 211 <-> 118 = ' 11010011' <-> ' 01110110' = 'c=4 o=5 p=4 t=0 e=1'
w= 8 | 212 <-> 172 = ' 11010100' <-> ' 10101100' = 'c=3 o=4 p=3 t=0 e=1'
w= 8 | 213 <->  61 = ' 11010101' <-> ' 00111101' = 'c=6 o=5 p=4 t=0 e=1'
